target,best_model,auc_roc,auc_pr,accuracy,precision,recall,f1,base_rate,baseline_auc_roc,delta_auc_vs_baseline
churn,logreg,0.6859661530062782,0.3585874850953693,0.6263333333333333,0.30146491904394757,0.6452145214521452,0.41093011035207566,0.202,0.501202,0.18476415300627813
outreach,logreg,0.6304412429444013,0.5090138667079933,0.5936666666666667,0.49206349206349204,0.6225941422594142,0.5496859992611748,0.3983333333333333,,
